,Day,Avg Min Temperature (°C),Avg Max Temperature (°C)
588,1989-01-15,13.217824722328206,18.10130520923077
589,1989-02-15,14.283951371794872,18.10130520923077
590,1989-03-15,16.45237412037436,18.10130520923077
591,1989-04-15,18.427382240710255,18.10130520923077
592,1989-05-15,20.127929669897437,18.10130520923077
593,1989-06-15,21.13324329897436,18.10130520923077
594,1989-07-15,22.00670594051282,18.10130520923077
595,1989-08-15,21.936830559358974,18.10130520923077
596,1989-09-15,20.646251426666666,18.10130520923077
597,1989-10-15,18.660111568441028,18.10130520923077
598,1989-11-15,16.03893784923077,18.10130520923077
599,1989-12-15,14.284119900205129,18.10130520923077
600,1990-01-15,13.66860045228718,18.375572750871793
601,1990-02-15,15.173257249128204,18.375572750871793
602,1990-03-15,16.810958946615386,18.375572750871793
603,1990-04-15,18.350409197506153,18.375572750871793
604,1990-05-15,20.36717576974359,18.375572750871793
605,1990-06-15,21.505079575384613,18.375572750871793
606,1990-07-15,21.955481653846153,18.375572750871793
607,1990-08-15,22.112924815384613,18.375572750871793
608,1990-09-15,20.564088705589743,18.375572750871793
609,1990-10-15,19.05031955789744,18.375572750871793
610,1990-11-15,16.688414801179487,18.375572750871793
611,1990-12-15,14.260162059871796,18.375572750871793
612,1991-01-15,13.700679352974358,18.031093117302564
613,1991-02-15,13.906304356666666,18.031093117302564
614,1991-03-15,16.650651244102566,18.031093117302564
615,1991-04-15,18.270919318205127,18.031093117302564
616,1991-05-15,19.54066295384615,18.031093117302564
617,1991-06-15,21.26566256769231,18.031093117302564
618,1991-07-15,22.11786623128205,18.031093117302564
619,1991-08-15,21.954606286153844,18.031093117302564
620,1991-09-15,20.88448253025641,18.031093117302564
621,1991-10-15,18.41489552348718,18.031093117302564
622,1991-11-15,16.001421632589743,18.031093117302564
623,1991-12-15,13.664964692189745,18.031093117302564
624,1992-01-15,13.360755982564102,17.94403854019487
625,1992-02-15,14.244365292728206,17.94403854019487
626,1992-03-15,16.139184660841025,17.94403854019487
627,1992-04-15,18.14780883871795,17.94403854019487
628,1992-05-15,19.981861402051283,17.94403854019487
629,1992-06-15,21.278471931282052,17.94403854019487
630,1992-07-15,21.639771614051284,17.94403854019487
631,1992-08-15,21.97665296482051,17.94403854019487
632,1992-09-15,20.435964488102567,17.94403854019487
633,1992-10-15,18.22455611046154,17.94403854019487
634,1992-11-15,15.936631870220513,17.94403854019487
635,1992-12-15,13.962438116266668,17.94403854019487
636,1993-01-15,13.28085489528205,17.96485942723077
637,1993-02-15,13.888759153384616,17.96485942723077
638,1993-03-15,15.807472996348718,17.96485942723077
639,1993-04-15,18.357842527435896,17.96485942723077
640,1993-05-15,20.345373110871794,17.96485942723077
641,1993-06-15,21.336353138461536,17.96485942723077
642,1993-07-15,21.807888764564105,17.96485942723077
643,1993-08-15,21.786582295589742,17.96485942723077
644,1993-09-15,20.409623254046156,17.96485942723077
645,1993-10-15,18.712974992820513,17.96485942723077
646,1993-11-15,15.38845432851282,17.96485942723077
647,1993-12-15,14.456132683717948,17.96485942723077
648,1994-01-15,14.024299052820513,18.278414833076923
649,1994-02-15,13.92368008288718,18.278414833076923
650,1994-03-15,16.562424829876925,18.278414833076923
651,1994-04-15,18.57964906090769,18.278414833076923
652,1994-05-15,20.319733345641026,18.278414833076923
653,1994-06-15,21.31609041179487,18.278414833076923
654,1994-07-15,22.288269766820513,18.278414833076923
655,1994-08-15,22.14249272,18.278414833076923
656,1994-09-15,20.921415250051282,18.278414833076923
657,1994-10-15,18.53824382346154,18.278414833076923
658,1994-11-15,16.582532932666666,18.278414833076923
659,1994-12-15,14.142147000512821,18.278414833076923
660,1995-01-15,13.547657150535898,18.2685271748
661,1995-02-15,15.164800941876923,18.2685271748
662,1995-03-15,16.267799933692306,18.2685271748
663,1995-04-15,18.407380372051282,18.2685271748
664,1995-05-15,20.280281612820513,18.2685271748
665,1995-06-15,21.65189886923077,18.2685271748
666,1995-07-15,22.339178437589744,18.2685271748
667,1995-08-15,22.20342815302564,18.2685271748
668,1995-09-15,20.701395760897437,18.2685271748
669,1995-10-15,19.008515600615386,18.2685271748
670,1995-11-15,15.898149130769232,18.2685271748
671,1995-12-15,13.75184062591282,18.2685271748
672,1996-01-15,13.332666421435897,17.953404382564102
673,1996-02-15,13.808086384461538,17.953404382564102
674,1996-03-15,15.613807338102562,17.953404382564102
675,1996-04-15,18.109185620871795,17.953404382564102
676,1996-05-15,20.344454298153845,17.953404382564102
677,1996-06-15,21.310730793333335,17.953404382564102
678,1996-07-15,21.827951684153845,17.953404382564102
679,1996-08-15,21.980341955589743,17.953404382564102
680,1996-09-15,20.347770313128205,17.953404382564102
681,1996-10-15,18.59648799271795,17.953404382564102
682,1996-11-15,16.15719845702564,17.953404382564102
683,1996-12-15,14.012172893046154,17.953404382564102
684,1997-01-15,13.536883850820514,18.215146676564103
685,1997-02-15,14.400264777210255,18.215146676564103
686,1997-03-15,16.202617785558974,18.215146676564103
687,1997-04-15,17.61825374302636,18.215146676564103
688,1997-05-15,20.212974592307692,18.215146676564103
689,1997-06-15,21.63586460974359,18.215146676564103
690,1997-07-15,22.1974432114359,18.215146676564103
691,1997-08-15,22.274574949743588,18.215146676564103
692,1997-09-15,20.860197606153847,18.215146676564103
693,1997-10-15,18.713154714615385,18.215146676564103
694,1997-11-15,16.461100887333334,18.215146676564103
695,1997-12-15,14.468429072820513,18.215146676564103
696,1998-01-15,14.128958584102563,18.634250636410258
697,1998-02-15,15.448105572923076,18.634250636410258
698,1998-03-15,16.444318612307693,18.634250636410258
